!,"ID for suite of sites or experiments","Name of experiment, field test or survey",Field Overlay (DOME) ID,Seaonal Strategy (DOME) ID,Rotational Analysis (DOME) ID,BATCH (DOME) ID,,,Treatment Name,4-character Climate ID code,Climate replication number for multiple realizations of weather data (ask Alex),Region ID,Regional stratum identification number,RAP ID,"Management regimen ID, for multiple management regimens per RAP",Names of institutions involved in collection of field or survey data,"Crop rotation indicator (=1 to indicate that this is a continuous, multi-year simulation, =0 for single year simulations)",Weather station ID,Soil ID,Site Latitude,Site Longitude,Crop type (common name) ,Crop model-specific cultivar ID,Cultivar name,Start of simulation date,Planting date,"Observed harvested yield, dry weight",Observed total above-ground biomass at harvest,Observed harvest date,Total number of irrigation events,Total amount of irrigation,Type of irrigation application,Total number of fertilizer applications,Total N applied,Total P applied,Total K applied,Manure and applied oganic matter,Total number of tillage applications,"Tillage type (hand, animal or mechanized)",Experiment ID,Weather ID,Soil ID,DOME ID for Overlay,DOME ID for Seasonal  ,DOME ID for Rotational ,DOME ID for Batch DOME,"Short name of crop model used for simulations (e.g., DSSAT, APSIM, Aquacrop, STICS, etc.)",Model name and version number of the crop model used to generate simulated outputs,"Simulated harvest yield, dry matter","Simulated above-ground biomass at harvest, dry matter",Simulated anthesis date,Simulated maturity date,Simulated harvest date,"Simulated leaf area index, maximum",Total precipitation from planting to harvest,"Simulated evapotranspiration, planting to harvest",Simulated N uptake during season,Simulated N leached up to harvest maturity,"Transpiration, cumulative from planting to harvest","Evaporation,soil, cumulative from planting to harvest"
!,text,text,text,text,text,text,number,number,text,code,number,code,number,code,code,text,number,text,text,decimal degrees,decimal degrees,text,text,text,yyyy-mm-dd,yyyy-mm-dd,kg/ha,kg/ha,yyyy-mm-dd,number,mm,text,number,kg[N]/ha,kg[P]/ha,kg[K]/ha,kg/ha,#,text,text,text,text,text,text,text,text,text,text,kg/ha,kg/ha,yyyy-mm-dd,yyyy-mm-dd,yyyy-mm-dd,m2/m2,mm,mm,kg/ha,kg/ha,mm,mm
#,SUITE_ID,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,ROTATIONAL_ANALYSIS,BATCH_DOME,BATCH_RUN#,RUN#,TRT_NAME,CLIM_ID,CLIM_REP,REG_ID,STRATUM,RAP_ID,MAN_ID,INSTITUTION,ROTATION,WST_ID,SOIL_ID,FL_LAT,FL_LONG,CRID_text,CUL_ID,CUL_NAME,SDAT,PDATE,HWAH,CWAH,HDATE,IR#C,IR_TOT,IROP_text,FE_#,FEN_TOT,FEP_TOT,FEK_TOT,OM_TOT,TI_#,TIIMP_text,EID,WID,SID,DOID,DSID,DRID,BDID,CROP_MODEL,MODEL_VER,HWAH_S,CWAH_S,ADAT_S,MDAT_S,HADAT_S,LAIX_S,PRCP_S,ETCP_S,NUCM_S,NLCM_S,EPCP_S,ESCP_S
*,,"KURN001_1__1","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",1,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1980-08-27,1980-09-26,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","30","185","1980-11-10","1980-12-18","1980-12-26","0.4","118.0","185.3","23","0","",""
*,,"KURN001_1__2","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",2,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1981-08-23,1981-09-22,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","505","985","1981-11-05","1981-12-19","1981-12-27","0.8","198.5","261.0","47","1","",""
*,,"KURN001_1__3","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",3,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1982-08-23,1982-09-22,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","426","1125","1982-11-06","1982-12-20","1982-12-28","1.1","278.2","244.7","54","0","",""
*,,"KURN001_1__4","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",4,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1983-08-24,1983-09-23,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","728","1491","1983-11-06","1983-12-21","1983-12-29","1.1","322.0","267.4","58","2","",""
*,,"KURN001_1__5","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",5,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1984-09-06,1984-10-06,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","188","522","1984-11-19","1984-12-29","1985-01-06","0.7","162.3","177.3","31","0","",""
*,,"KURN001_1__6","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",6,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1985-09-03,1985-10-03,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","75","253","1985-11-16","1985-12-27","1986-01-04","0.4","71.5","129.1","17","0","",""
*,,"KURN001_1__7","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",7,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1986-09-01,1986-10-01,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","127","317","1986-11-15","1986-12-25","1987-01-02","0.4","167.4","167.6","25","0","",""
*,,"KURN001_1__8","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",8,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1987-08-22,1987-09-21,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","288","923","1987-11-05","1987-12-20","1987-12-28","1.1","258.8","270.0","57","0","",""
*,,"KURN001_1__9","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",9,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1988-08-28,1988-09-27,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","448","938","1988-11-12","1988-12-29","1989-01-06","0.6","26.9","149.4","33","0","",""
*,,"KURN001_1__10","KURNOOL------FERTILITY2","KURNOOL-----IWFX-RCP8.5_MID","","","",10,"","IWFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1989-08-21,1989-09-20,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","f0ebf1ffb02f678e8d09782f5b2f0d2e9e24b7abd2d8b46776f35dca55fe0793","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","97b5aae89f2618e02e516f6bb957c4311e062a42c14a95b00291e9cf8836afa8","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","495","1064","1989-11-04","1989-12-21","1989-12-29","0.8","311.1","232.8","55","0","",""
