!,"ID for suite of sites or experiments","Name of experiment, field test or survey",Field Overlay (DOME) ID,Seaonal Strategy (DOME) ID,Rotational Analysis (DOME) ID,BATCH (DOME) ID,,,Treatment Name,4-character Climate ID code,Climate replication number for multiple realizations of weather data (ask Alex),Region ID,Regional stratum identification number,RAP ID,"Management regimen ID, for multiple management regimens per RAP",Names of institutions involved in collection of field or survey data,"Crop rotation indicator (=1 to indicate that this is a continuous, multi-year simulation, =0 for single year simulations)",Weather station ID,Soil ID,Site Latitude,Site Longitude,Crop type (common name) ,Crop model-specific cultivar ID,Cultivar name,Start of simulation date,Planting date,"Observed harvested yield, dry weight",Observed total above-ground biomass at harvest,Observed harvest date,Total number of irrigation events,Total amount of irrigation,Type of irrigation application,Total number of fertilizer applications,Total N applied,Total P applied,Total K applied,Manure and applied oganic matter,Total number of tillage applications,"Tillage type (hand, animal or mechanized)",Experiment ID,Weather ID,Soil ID,DOME ID for Overlay,DOME ID for Seasonal  ,DOME ID for Rotational ,DOME ID for Batch DOME,"Short name of crop model used for simulations (e.g., DSSAT, APSIM, Aquacrop, STICS, etc.)",Model name and version number of the crop model used to generate simulated outputs,"Simulated harvest yield, dry matter","Simulated above-ground biomass at harvest, dry matter",Simulated anthesis date,Simulated maturity date,Simulated harvest date,"Simulated leaf area index, maximum",Total precipitation from planting to harvest,"Simulated evapotranspiration, planting to harvest",Simulated N uptake during season,Simulated N leached up to harvest maturity,"Transpiration, cumulative from planting to harvest","Evaporation,soil, cumulative from planting to harvest"
!,text,text,text,text,text,text,number,number,text,code,number,code,number,code,code,text,number,text,text,decimal degrees,decimal degrees,text,text,text,yyyy-mm-dd,yyyy-mm-dd,kg/ha,kg/ha,yyyy-mm-dd,number,mm,text,number,kg[N]/ha,kg[P]/ha,kg[K]/ha,kg/ha,#,text,text,text,text,text,text,text,text,text,text,kg/ha,kg/ha,yyyy-mm-dd,yyyy-mm-dd,yyyy-mm-dd,m2/m2,mm,mm,kg/ha,kg/ha,mm,mm
#,SUITE_ID,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,ROTATIONAL_ANALYSIS,BATCH_DOME,BATCH_RUN#,RUN#,TRT_NAME,CLIM_ID,CLIM_REP,REG_ID,STRATUM,RAP_ID,MAN_ID,INSTITUTION,ROTATION,WST_ID,SOIL_ID,FL_LAT,FL_LONG,CRID_text,CUL_ID,CUL_NAME,SDAT,PDATE,HWAH,CWAH,HDATE,IR#C,IR_TOT,IROP_text,FE_#,FEN_TOT,FEP_TOT,FEK_TOT,OM_TOT,TI_#,TIIMP_text,EID,WID,SID,DOID,DSID,DRID,BDID,CROP_MODEL,MODEL_VER,HWAH_S,CWAH_S,ADAT_S,MDAT_S,HADAT_S,LAIX_S,PRCP_S,ETCP_S,NUCM_S,NLCM_S,EPCP_S,ESCP_S
*,,"KURN001_1__1","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",1,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1980-08-27,1980-09-26,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","23","95","1980-11-08","1980-12-16","1980-12-24","0.2","85.5","141.7","11","0","",""
*,,"KURN001_1__2","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",2,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1981-08-23,1981-09-22,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","566","1014","1981-11-04","1981-12-21","1981-12-29","0.6","130.6","209.8","33","0","",""
*,,"KURN001_1__3","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",3,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1982-08-23,1982-09-22,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","326","790","1982-11-04","1982-12-17","1982-12-25","0.8","212.4","211.9","39","0","",""
*,,"KURN001_1__4","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",4,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1983-08-24,1983-09-23,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","621","1083","1983-11-04","1983-12-20","1983-12-28","0.7","247.1","221.1","40","1","",""
*,,"KURN001_1__5","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",5,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1984-09-10,1984-10-10,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","116","303","1984-11-22","1985-01-01","1985-01-09","0.4","82.6","137.7","20","0","",""
*,,"KURN001_1__6","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",6,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1985-09-07,1985-10-07,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","39","126","1985-11-19","1985-12-29","1986-01-06","0.2","25.7","85.9","10","0","",""
*,,"KURN001_1__7","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",7,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1986-09-08,1986-10-08,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","27","79","1986-11-20","1986-12-30","1987-01-07","0.2","90.0","112.8","8","0","",""
*,,"KURN001_1__8","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",8,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1987-08-22,1987-09-21,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","159","446","1987-11-03","1987-12-14","1987-12-22","0.6","188.9","212.0","30","0","",""
*,,"KURN001_1__9","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",9,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1988-08-28,1988-09-27,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","475","859","1988-11-10","1988-12-27","1989-01-04","0.5","20.9","132.1","26","0","",""
*,,"KURN001_1__10","KURNOOL------FERTILITY2","KURNOOL-----0XFX-CURRENT","","","",10,"","0XFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1989-08-21,1989-09-20,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","532dfc3f716d60d9dad5223c21910a35ba040265f29caa9775c37a63c8525286","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","053256c64b7f50f4cf5f488ef8ef6adf01517366254a7412b569e36412c1995e","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","515","961","1989-11-02","1989-12-19","1989-12-27","0.6","279.1","208.9","43","0","",""
