!,"ID for suite of sites or experiments","Name of experiment, field test or survey",Field Overlay (DOME) ID,Seaonal Strategy (DOME) ID,Rotational Analysis (DOME) ID,BATCH (DOME) ID,,,Treatment Name,4-character Climate ID code,Climate replication number for multiple realizations of weather data (ask Alex),Region ID,Regional stratum identification number,RAP ID,"Management regimen ID, for multiple management regimens per RAP",Names of institutions involved in collection of field or survey data,"Crop rotation indicator (=1 to indicate that this is a continuous, multi-year simulation, =0 for single year simulations)",Weather station ID,Soil ID,Site Latitude,Site Longitude,Crop type (common name) ,Crop model-specific cultivar ID,Cultivar name,Start of simulation date,Planting date,"Observed harvested yield, dry weight",Observed total above-ground biomass at harvest,Observed harvest date,Total number of irrigation events,Total amount of irrigation,Type of irrigation application,Total number of fertilizer applications,Total N applied,Total P applied,Total K applied,Manure and applied oganic matter,Total number of tillage applications,"Tillage type (hand, animal or mechanized)",Experiment ID,Weather ID,Soil ID,DOME ID for Overlay,DOME ID for Seasonal  ,DOME ID for Rotational ,DOME ID for Batch DOME,"Short name of crop model used for simulations (e.g., DSSAT, APSIM, Aquacrop, STICS, etc.)",Model name and version number of the crop model used to generate simulated outputs,"Simulated harvest yield, dry matter","Simulated above-ground biomass at harvest, dry matter",Simulated anthesis date,Simulated maturity date,Simulated harvest date,"Simulated leaf area index, maximum",Total precipitation from planting to harvest,"Simulated evapotranspiration, planting to harvest",Simulated N uptake during season,Simulated N leached up to harvest maturity,"Transpiration, cumulative from planting to harvest","Evaporation,soil, cumulative from planting to harvest"
!,text,text,text,text,text,text,number,number,text,code,number,code,number,code,code,text,number,text,text,decimal degrees,decimal degrees,text,text,text,yyyy-mm-dd,yyyy-mm-dd,kg/ha,kg/ha,yyyy-mm-dd,number,mm,text,number,kg[N]/ha,kg[P]/ha,kg[K]/ha,kg/ha,#,text,text,text,text,text,text,text,text,text,text,kg/ha,kg/ha,yyyy-mm-dd,yyyy-mm-dd,yyyy-mm-dd,m2/m2,mm,mm,kg/ha,kg/ha,mm,mm
#,SUITE_ID,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,ROTATIONAL_ANALYSIS,BATCH_DOME,BATCH_RUN#,RUN#,TRT_NAME,CLIM_ID,CLIM_REP,REG_ID,STRATUM,RAP_ID,MAN_ID,INSTITUTION,ROTATION,WST_ID,SOIL_ID,FL_LAT,FL_LONG,CRID_text,CUL_ID,CUL_NAME,SDAT,PDATE,HWAH,CWAH,HDATE,IR#C,IR_TOT,IROP_text,FE_#,FEN_TOT,FEP_TOT,FEK_TOT,OM_TOT,TI_#,TIIMP_text,EID,WID,SID,DOID,DSID,DRID,BDID,CROP_MODEL,MODEL_VER,HWAH_S,CWAH_S,ADAT_S,MDAT_S,HADAT_S,LAIX_S,PRCP_S,ETCP_S,NUCM_S,NLCM_S,EPCP_S,ESCP_S
*,,"KURN001_1__1","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",1,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1980-08-26,1980-09-25,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","30","94","1980-11-10","1980-12-20","1980-12-28","0.1","96.1","139.3","11","0","",""
*,,"KURN001_1__2","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",2,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1981-08-23,1981-09-22,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","597","1163","1981-11-05","1981-12-23","1981-12-31","0.8","128.2","213.7","41","1","",""
*,,"KURN001_1__3","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",3,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1982-08-23,1982-09-22,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","234","642","1982-11-06","1982-12-18","1982-12-26","0.8","218.4","212.0","40","0","",""
*,,"KURN001_1__4","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",4,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1983-08-24,1983-09-23,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","638","1218","1983-11-06","1983-12-22","1983-12-30","0.8","260.5","232.3","48","2","",""
*,,"KURN001_1__5","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",5,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1984-09-10,1984-10-10,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","97","307","1984-11-24","1985-01-03","1985-01-11","0.4","76.5","137.4","23","0","",""
*,,"KURN001_1__6","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",6,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1985-09-07,1985-10-07,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","31","132","1985-11-21","1985-12-31","1986-01-08","0.2","21.0","85.7","12","0","",""
*,,"KURN001_1__7","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",7,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1986-09-01,1986-10-01,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","61","171","1986-11-16","1986-12-27","1987-01-04","0.2","90.8","125.6","15","0","",""
*,,"KURN001_1__8","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",8,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1987-08-22,1987-09-21,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","71","308","1987-11-06","1987-12-15","1987-12-23","0.6","188.3","200.7","30","0","",""
*,,"KURN001_1__9","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",9,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1988-08-28,1988-09-27,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","453","931","1988-11-12","1988-12-31","1989-01-08","0.6","22.1","143.2","33","0","",""
*,,"KURN001_1__10","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",10,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1989-08-21,1989-09-20,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","467","971","1989-11-05","1989-12-22","1989-12-30","0.7","311.4","221.0","50","0","",""
*,,"KURN001_1__11","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",11,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1990-08-25,1990-09-24,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","371","798","1990-11-07","1990-12-23","1990-12-31","0.7","284.0","191.4","34","0","",""
*,,"KURN001_1__12","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",12,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1991-08-23,1991-09-22,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","333","784","1991-11-07","1991-12-21","1991-12-29","0.7","155.9","185.4","41","0","",""
*,,"KURN001_1__13","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",13,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1992-08-30,1992-09-29,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","28","95","1992-11-14","1992-12-23","1992-12-31","0.1","120.8","136.2","12","0","",""
*,,"KURN001_1__14","KURNOOL------FERTILITY2","KURNOOL-----IDFX-RCP8.5_MID","","","",14,"","IDFX",1,"KURNOOL","",,,AgMIP,0,INKK,KUR0000002,15.8427,78.0322,"Chickpea",GF0005,"JG-11",1993-08-22,1993-09-21,,,,,,"",1,41,0,0,,,"","9dd3e8cb72385e6ec78d9f319d5f1f30764146dfce073621ba7fd2170eced59c","186978bed1a29846705ad38462c1da940773fa080eed6bc9bd8e56787bcaa3aa","7ab4aab0019bf6592b2eabee01639217e3b882132c8ff02873d7ec47774e27b8","9cb287fa0cc51c6e2857ec7b03ccbadacbb094540a285fcf18c281c82428bda9","af041c196ebf5b93014a24d2d9a805ee3f7879842447a75d4b19c06760b77c6f","","",DSSAT,"DSSAT CRGRO045 Ver. 4.5.1.023 -Stub","441","913","1993-11-05","1993-12-22","1993-12-30","0.6","334.4","240.7","41","0","",""
